N,x,h1,h2,h3,h4,h5
160, 415.977600, 124.264519, 132.704025, 124.846550, 120.869308, 121.257332
161, 418.577454, 123.585472, 130.472885, 124.070503, 119.608231, 122.130386
162, 421.177307, 122.615417, 128.241760, 122.615417, 118.929192, 123.488464
163, 423.777161, 121.451347, 126.107628, 121.451347, 118.638176, 125.331581
164, 426.377045, 120.384277, 123.585472, 120.772301, 118.638176, 127.756729
165, 428.976898, 119.705238, 121.839371, 120.578293, 117.765121, 130.569901
166, 431.576752, 119.317215, 120.675301, 120.384277, 116.989075, 134.062103
167, 434.176605, 118.541168, 120.384277, 119.996254, 116.989075, 138.233353
168, 436.776459, 117.571114, 121.063324, 119.511230, 118.153145, 142.986649
169, 439.376343, 116.989075, 122.712418, 119.026199, 119.802246, 147.836945
170, 441.976196, 117.280090, 125.040565, 118.735184, 121.548347, 151.620163
171, 444.576050, 117.571114, 127.368706, 118.638176, 123.197449, 154.239334
172, 447.175903, 116.407043, 128.920792, 118.735184, 125.137566, 155.985428
173, 449.775757, 113.108841, 129.599838, 118.735184, 127.077682, 157.731537
174, 452.375641, 107.967529, 129.502838, 118.541168, 128.726791, 158.992615
175, 454.975494, 102.050171, 128.144745, 118.347160, 129.308823, 159.574646
176, 457.575348, 95.065750, 125.428589, 118.347160, 129.211807, 159.283630
177, 460.175201, 87.014259, 120.869308, 118.444160, 128.435760, 158.216568
178, 462.775085, 77.992714, 114.466919, 118.250153, 127.853729, 156.276443
179, 465.374939, 68.001114, 106.415436, 117.959137, 127.271698, 153.754303
180, 467.974792, 58.494537, 97.878922, 117.571114, 127.271698, 151.038132
181, 470.574646, 50.637062, 90.021446, 117.571114, 127.368706, 148.224960
182, 473.174500, 45.010723, 83.813072, 117.183090, 127.465706, 144.829758
183, 475.774384, 40.548450, 78.865768, 116.601051, 128.047745, 141.531555
184, 478.374237, 37.444263, 75.761581, 115.339973, 128.823792, 138.621384
185, 480.974091, 36.474205, 73.724457, 113.108841, 129.793854, 136.584259
186, 483.573944, 37.735283, 73.724457, 110.004654, 130.569901, 134.644150
187, 486.173798, 40.645458, 74.791527, 106.027412, 131.248932, 133.965103
188, 488.773682, 43.652641, 77.119667, 101.080116, 132.121994, 134.256119
189, 491.373535, 46.271797, 78.089722, 93.804672, 132.607025, 134.838150
190, 493.973389, 48.793949, 77.798706, 84.395103, 132.315994, 134.838150
191, 496.573242, 51.510117, 76.246613, 74.500504, 130.763901, 133.286057
192, 499.173096, 54.420292, 75.470566, 65.963989, 127.465706, 130.957916
